format_date,first_name,last_name,email,phone
2023-19-01,ชื่นใจ,สวยสกุล,c****s@gmail.com,09055508888
2023-20-04,สมชาย,เด็ดเดี่ยว,l****7@hotmail.com,081xxxxx00
2023-22-21,สมุย,เด็ดเดี่ยว,s****i@gmail.com,1112
2020-30-02,จอห์น,มองอะไร,b****8@gmail.com,099xxxxx55
2023-19-01,ssssss,sssss,c****s@gmail.com,09055508888
2023-12-21,hhhhh,hhhh,s****i@gmail.com,1112
2023-19-01,hhhhh,hhhhh,churn.jai.sasdfasdf,1111111
2023-20-04,lllll,lllll,l****7@hotmail.com,081xxxxx00
2023-22-21,zzzzzzzz,zzzzzzzz,s****i@gmail.com,1112
2020-30-02,a1a1a1a1,a1a111a1a1,b****8@gmail.com,009xxxx50
2020-30-02,asdf1111,222222,b****8@gmail.com,009xxxx50
2030-12-01,aasdfasdf,asdfasdfad,b****f@gmail.com,0822
